body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Sedans,15770,VAT deductible,Audi,A1,1.4,56013.0,3.9178082191780823,66.0,Used,Black,Cloth,5.0,5.0,Automatic,1.4,3.0,1220.0,front,Diesel,3.8,3.8,3.8,99.0,16.0,4.0,3.0,14.0,
Sedans,14500,Price negotiable,Audi,A1,1.8,80000.0,2.7534246575342465,141.0,Used,Red,Cloth,3.0,4.0,Automatic,1.8,4.0,1255.0,front,Gasoline,5.6,5.6,5.6,129.0,9.0,5.0,4.0,15.0,7.0
Sedans,14640,VAT deductible,Audi,A1,1.6,83450.0,3.8328767123287673,85.0,Used,Black,Cloth,4.0,4.0,Automatic,1.6,,,front,Diesel,3.8,3.8,3.8,99.0,13.0,2.0,2.0,12.0,
Sedans,14500,,Audi,A1,1.4,73000.0,3.334246575342466,66.0,Used,Brown,,3.0,4.0,Automatic,1.4,3.0,1195.0,,Diesel,3.8,3.8,3.8,99.0,16.0,8.0,3.0,14.0,6.0
Sedans,16790,,Audi,A1,1.4,16200.0,3.5863013698630137,66.0,Used,Black,Cloth,5.0,5.0,Automatic,1.4,3.0,,front,Diesel,4.1,4.1,4.1,109.0,13.0,7.0,4.0,13.0,
Sedans,15090,,Audi,A1,1.6,63668.0,3.8328767123287673,85.0,Used,White,Part leather,4.0,5.0,Automatic,1.6,,,,Diesel,3.5,3.5,3.5,9.0,17.0,6.0,4.0,14.0,
Station wagon,16422,VAT deductible,Audi,A1,1.6,62111.0,3.7534246575342465,85.0,Used,White,Part leather,4.0,5.0,Automatic,1.6,4.0,,front,Diesel,3.7,3.7,3.7,98.0,15.0,7.0,4.0,13.0,
Compact,14480,VAT deductible,Audi,A1,1.4,14986.0,3.8328767123287673,66.0,Used,Red,Cloth,5.0,5.0,Automatic,1.4,,,front,Diesel,3.7,3.7,3.7,97.0,10.0,3.0,1.0,12.0,7.0
Sedans,16700,,Audi,A1,1.6,57000.0,3.8328767123287673,85.0,Used,Grey,Cloth,5.0,4.0,Automatic,1.6,4.0,1275.0,front,Diesel,3.7,3.7,3.7,97.0,2.0,1.0,1.0,9.0,7.0
Sedans,17990,,Audi,A1,,16103.0,2.5013698630136987,70.0,Used,White,,5.0,4.0,Automatic,1.0,,,,Gasoline,,,,,,,,,7.0
